ID Number,Date_Began,Year,General_Date (if date_began unknown),OrgName,Location (State),State,County,County,Primary CI Sector targeted,Secondary CI Sector,Strain,MITRE ATT&CK Software ID [if exists],"Duration (days, unless specified)",Duration Rank,Ransom Amount,Local Currency,RansomScale,PaidStatus,PayMethod (only if paid),AmtPaid,Source,Related incidents,Comments
1039,7/12/2021,2021,"Week of July 12, 2021",Emma Willard School,NY,,,,Education Facilities Subsector,,,,,,,,,,,,https://www.timesunion.com/news/article/Emma-Willard-School-hit-by-ransomware-attack-16335948.php,,
1040,7/12/2021,2021,"Week of July 12, 2021",Corporación Nacional de Telecomunicación (CNT),Ecuador,,,,Communications,,RansomExx/defray,,,,,,,,,,https://www.bleepingcomputer.com/news/security/ecuadors-state-run-cnt-telco-hit-by-ransomexx-ransomware/,,
1041,7/19/2021,2021,,Northern Trains,UK,,,,Transportation Systems,,,,at least a week,1 month or less,,,,,,,"https://www.bbc.com/news/uk-england-57892711 ;
https://www.cybertalk.org/breaking-news-northern-trains-ticketing-system-derailed-by-ransomware-attack-2/",,
1042,7/22/2021,2021,,Transnet SOC Ltd,South Africa,,,,Transportation Systems,,DeathKitty,,,,,,,,,,https://www.bloomberg.com/news/articles/2021-07-29/-death-kitty-ransomware-linked-to-attack-on-south-african-ports,,
1043,7/25/2021,2021,,Atalanta,North America,,,,Food and Agriculture,,,,,,,,,,,,https://portswigger.net/daily-swig/us-food-importer-atalanta-admits-ransomware-attack,,
1044,7/30/2021,2021,,Accenture,Global,,,,Information Technology,,LockBit,,,,,$50 million,More than $5000000,,,,"https://www.reuters.com/technology/accenture-restores-affected-systems-after-reported-ransomware-attack-2021-08-11/ ;
https://www.crn.com/news/security/accenture-issued-ransomware-warning-after-lockbit-attack",,
1045,7/31/2021,2021,,Lazio Region in Italy,Italy,,,,Government Facilities,Healthcare and Public Health,RansomExx/defray,,,,,,,,,,https://www.bleepingcomputer.com/news/security/ransomware-attack-hits-italys-lazio-region-affects-covid-19-site/,,Affecting COVID-19 vaccination registration system
1046,8/1/2021,2021,August 2021,Tokio Marine,"Japan, Singapore",,,,Financial Services,,,,,,,,,,,,https://www.bleepingcomputer.com/news/security/japanese-insurer-tokio-marine-discloses-ransomware-attack/,,
1047,8/1/2021,2021,August 2021,Ermenegildo Zegna,Italy,,,,Commercial Facilities,,,,,,,,,,,,https://www.bleepingcomputer.com/news/security/luxury-fashion-house-zegna-confirms-august-ransomware-attack/,,
1048,8/3/2021,2021,,Gigabyte,Taiwan,,,,Critical Manufacturing,,RansomExx/defray,,,,,,,,,,https://www.bleepingcomputer.com/news/security/computer-hardware-giant-gigabyte-hit-by-ransomexx-ransomware/,,
1049,8/4/2021,2021,,Eskenazi Health,IN,,,,Healthcare and Public Health,,,,at least 5 days,1 week or less,,,,,,,"https://www.indystar.com/story/news/health/2021/08/04/eskenazi-health-ransomware-attack/5489509001/ ;
https://healthitsecurity.com/news/healthcare-ransomware-attack-leads-to-ehr-downtime-in-in", ,
1050,8/6/2021,2021,,Eye & Retina Surgeons,Singapore,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.moh.gov.sg/news-highlights/details/statement-on-cybersecurity-incident-at-eye-retina-surgeons,,
1051,8/7/2021,2021,,Twin Falls County,ID,,,,Government Facilities,,,,at least 2 weeks,1 month or less,,,,No,N/A,N/A,https://magicvalley.com/news/local/govt-and-politics/twin-falls-county-identifies-ransomware-as-source-of-computer-problems/article_db373df2-107c-5cb8-8fe8-ea8a03aa8d98.html,,
1052,8/13/2021,2021,,Brazilian National Treasury,Brazil,,,,Government Facilities,,,,,,,,,,,,https://www.bankinfosecurity.com/ransomware-hits-brazilian-national-treasury-a-17318,,
1053,8/14/2021,2021,,Memorial Health System,OH,,,,Healthcare and Public Health,,Hive,,More than a week,1 month or less,,,,,,,"https://www.newsandsentinel.com/news/business/2021/08/memorial-health-system-experiences-ransomware-attack/ ;
https://www.beckershospitalreview.com/cybersecurity/memorial-health-expecting-weeklong-it-system-outage-from-ransomware-attack.html ;
https://www.bleepingcomputer.com/news/security/hive-ransomware-attacks-memorial-health-system-steals-patient-data/ ;
https://www.scmagazine.com/analysis/breach/patient-data-stolen-ahead-of-memorial-health-ransomware-attack-ehr-downtime",,
1054,8/15/2021,2021,,Bar Ilan University,Israel,,,,Education Facilities Subsector,,,,,,,,,,,,https://www.haaretz.com/israel-news/tech-news/.premium-cyberattack-on-israeli-university-data-being-erased-right-now-1.10119912,,
1055,8/23/2021,2021,,Bangkok Airways,Thailand,,,,Transportation Systems,,LockBit,,,,,,,,,,https://www.zdnet.com/article/bangkok-airways-apologizes-for-passport-info-breach-as-lockbit-ransomware-group-threatens-release-of-more-data/,,
1056,8/23/2021,2021,,Missouri Delta Medical Center,MO,,,,Healthcare and Public Health,,Hive,,,,,,,,,,https://www.databreaches.net/missouri-delta-medical-center-silent-about-patient-data-dump-and-claimed-ransomware-attack/,,
1057,8/25/2021,2021,,Boston Public Library,MA,,,,Education Facilities Subsector,,,,,,,,,,,,https://www.bleepingcomputer.com/news/security/boston-public-library-discloses-cyberattack-system-wide-technical-outage/,,
1058,8/26/2021,2021,,"Sault Ste. Marie, Ontario Police",Canada,,,,Emergency Services,,,,,,,,,,,,https://www.itworldcanada.com/article/northern-ontario-police-force-recovering-from-ransomware-attack/457701,,
1059,8/27/2021,2021,,Barlow Respiratory Hospital,CA,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.zdnet.com/article/ransomware-groups-continue-assault-on-healthcare-orgs-as-covid-19-infections-increase/,,
1060,8/27/2021,2021,,Barlow Respiratory Hospital,CA,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.zdnet.com/article/ransomware-groups-continue-assault-on-healthcare-orgs-as-covid-19-infections-increase/,,
1061,8/31/2021,2021,,United Health Centers,CA,,,,Healthcare and Public Health,,ViceSociety,,,,,,,,,,https://www.bleepingcomputer.com/news/security/united-health-centers-ransomware-attack-claimed-by-vice-society/,,
1062,9/1/2021,2021,September 2021,Department of Justice and Constitutional Development,South Africa,,,,Government Facilities,,,,,,,,,,,,https://www.ecr.co.za/news/news/justice-dept-systems-recovering-following-ransomware-attack/,,
1063,9/1/2021,2021,September 2021,Manhasset Schools,NY,,,,Education Facilities Subsector,,,,,,,,,,,,https://www.databreaches.net/update-student-and-personnel-files-from-manhasset-union-free-school-district-appear-on-the-dark-web/,,
1064,9/1/2021,2021,September 2021, Stor-a-file Limited,UK,,,,Information Technology,Healthcare and Public Health,,,,,,,,No,N/A,N/A,"https://www.infosecurity-magazine.com/news/ransomwareattack-hits-uk-fertility/ ;
https://www.theregister.com/2021/11/10/stor_a_file_ransomware_attack_solarwinds_serv_u/",,
1065,9/1/2021,2021,September 2021,Law Enforcement Health Benefits Inc. (LEHB),PA,,,,Healthcare and Public Health,,,,,,,,,,,,https://healthitsecurity.com/news/law-enforcement-health-benefits-plan-ransomware-attack-impacts-85k,,
1066,9/3/2021,2021,,JIPMER,India,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.thehindu.com/news/cities/puducherry/jipmer-suspends-tele-consultation-following-ransomware-attack/article36312449.ece,,
1067,9/3/2021,2021,,Howard University,DC,,,,Education Facilities Subsector,,,,,,,,,,,,https://techcrunch.com/2021/09/07/howard-university-cancels-classes-after-ransomware-attack/,,
1068,9/7/2021,2021,,Las Vegas Cancer Center,NV,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.reviewjournal.com/crime/las-vegas-cancer-center-notifies-patients-of-ransomware-attack-2470039/,,"described as ransomware attack, but no ransom was demanded"
1069,9/8/2021,2021,,Olympus,Global,,,,Information Technology,,BlackMatter,,at least 5 days,,,,,,,,https://www.computerweekly.com/news/252506615/Olympus-likely-victim-of-BlackMatter-ransomware,,
1070,9/10/2021,2021,,YMCA of Greater Charlotte,NC,,,,Commercial Facilities,,,,,,,,,,,,https://www.charlotteobserver.com/news/local/article257593403.html,,
1071,9/12/2021,2021,,TTEC,Global,,,,Information Technology,,Ragnar Locker,S0481,,,,,,,,,https://krebsonsecurity.com/2021/09/customer-care-giant-ttec-hit-by-ransomware/,,
1072,9/15/2021,2021,,Greensville County Public Schools,VA,,,,Education Facilities Subsector,,Grief,,,,,,,,,,https://www.databreaches.net/va-greensville-county-public-schools-hit-by-grief-threat-actors/,,Date is when the school disclosed it to the public; said the attack occurred recently
1073,9/17/2021,2021,,Tamil Nadu Public Department,India,,,,Government Facilities,,,,,,"1,950 USD in cryptocurrency",$1950 USD,$50000 or less,,,,https://www.thehindu.com/news/national/tamil-nadu/tn-public-dept-attacked-by-ransomware-sensitive-documents-encrypted/article36531408.ece,,
1074,9/17/2021,2021,,Pottawatomie County,KS,,,,Government Facilities,,,,,,,,,Yes,,"""less than 10% of the hackers' original demands""",https://apnews.com/article/coronavirus-pandemic-technology-health-hacking-kansas-67b4cd58d0238a027a95607089c25b84,,
1075,9/18/2021,2021,,New Cooperative,IA,,,,Food and Agriculture,,BlackMatter,,,,,$5.9 million,More than $5000000,,,,https://thehill.com/policy/cybersecurity/573082-agriculture-group-new-cooperative-hit-by-ransomware-attack,,
1076,9/18/2021,2021,,GSS,Europe,,,,Communications,,Conti,S0575,,,,,,,,,https://therecord.media/major-european-call-center-provider-goes-down-in-ransomware-attack/,,
1077,9/19/2021,2021,,Crystal Valley,MN,,,,Food and Agriculture,,,,at least 1 week,1 month or less,,,,,,,"https://threatpost.com/crystal-valley-farm-coop-hit-with-ransomware/174928/ ; 
https://www.keyc.com/2021/09/27/business-resumes-crystal-valley-co-op-following-ransomware-attack/",,
1078,9/20/2021,2021,,Coos County Family Health Services,NH,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.concordmonitor.com/Coos-County-Family-Health-Services-shut-down-by-ransomware-attack-42670149,,
1079,9/22/2021,2021,,JVCKenwood,Global,,,,Critical Manufacturing,Information Technology,Conti,S0575,,,,$7 million,More than $5000000,,,,https://www.bleepingcomputer.com/news/security/jvckenwood-hit-by-conti-ransomware-claiming-theft-of-15tb-data/,,
1080,9/22/2021,2021,,Giant Group/Giant Pay,UK,,,,Financial Services,,,,,,,,,,,,"https://www.cshub.com/attacks/articles/iotw-giant-pays-devastating-ransomware-attack-affects-lorry-drivers-and-more ; 
https://www.computerweekly.com/news/252507545/IR35-Giant-Group-cyber-attack-prompts-renewed-calls-for-statutory-regulation-of-umbrella-companies",,
1081,9/23/2021,2021,,Lufkin ISF,TX,,,,Education Facilities Subsector,,,,,,,,,,,,https://www.ktre.com/2021/09/28/lufkin-isd-hit-by-ransomware-attack/,,
1082,9/27/2021,2021,,Stonington School District,CT,,,,Education Facilities Subsector,,,,,,,,,,,,https://www.thewesterlysun.com/news/stonington/stonington-schools-investigating-apparent-ransomware-attack-on-district/article_aa2b20a0-1fde-11ec-a99e-7bb270896e14.html,,
1083,9/30/2021,2021,,Sandhills Global,NE,,,,Information Technology,,Conti,S0575,,,,,,,,,"https://www.bleepingcomputer.com/news/security/sandhills-online-machinery-markets-shut-down-by-ransomware-attack/ ;
https://www.agweb.com/news/business/technology/popular-online-farm-equipment-and-land-auction-service-sites-crippled",,
1084,9/30/2021,2021,Late September 2021,Ronmor Holdings Real Estate,Canada,,,,Commercial Facilities,,Revil/sodinokibi,S0496,,,,,,,,,https://www.insurancebusinessmag.com/ca/news/cyber/canadian-real-estate-company-slammed-by-ransomware-attack-315732.aspx,,
1085,10/1/2021,2021,October 2021,Gigabyte,Taiwan,,,,Critical Manufacturing,,AvosLocker,,,,,,,,,,https://www.notebookcheck.net/Gigabyte-hit-by-ransomware-attack-NDA-d-information-and-customer-details-leak-out-with-hackers-threatening-worse.574681.0.html,,"Date of attack is unspecific in the article (""recently attacked""); date listed here is the month article was published"
1086,10/1/2021,2021,October 2021,Valley Regional Transit,ID,,,,Transportation Systems,,,,,,,,,,,,https://www.ktvb.com/article/news/local/valley-regional-transit-cyber-attack-against-vrt-put-personal-information-at-risk-ransomware/277-08c36381-d096-40d5-82b7-98460bcd70bc,,
1087,10/1/2021,2021,October 2021,Meyer Corportation,Global,,,,Critical Manufacturing,Food and Agriculture,Conti,S0575,,,,,,,,,https://www.techtarget.com/searchsecurity/news/252514185/February-ransomware-attacks-hit-major-enterprises,,
1088,10/1/2021,2021,October 2021,Sinclair Broadcast Group,USA,,,,Communications,,,,,,,,,,,,https://www.cybersecuritydive.com/news/sinclair-ransomware-attack-costs-insurance/619926/,,
1089,10/2/2021,2021,,Washington Adventist University,MD,,,,Education Facilities Subsector,,,,,,,,,,,,https://wtop.com/maryland/2021/10/university-in-montgomery-co-confirms-ongoing-ransomware-attack/,,
1090,10/3/2021,2021,,Marten Transport,WI,,,,Transportation Systems,,Hive,,,,,,,,,,https://www.freightwaves.com/news/marten-transport-discloses-cyberattack-warns-employee-data-could-be-at-risk,,
1091,10/9/2021,2021,,Ferrara Candy,IL,,,,Food and Agriculture,,,,,,,,,,,,https://www.avclub.com/sorry-candy-corn-haters-itll-take-more-than-ransomwar-1847901566,,
1092,10/9/2021,2021,,Planned Parenthood’s Los Angeles clinics,CA,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.reuters.com/world/us/planned-parenthoods-los-angeles-clinics-hit-by-ransomware-patient-data-stolen-2021-12-02/,,
1093,10/13/2021,2021,,Hillel Yaffe Medical Center,Israel,,,,Healthcare and Public Health,,Black Shadow,,,More than 1 month,,,,No,N/A,N/A,"https://www.securityweek.com/israeli-hospital-targeted-ransomware-attack ;
https://www.timesofisrael.com/liveblog_entry/hadera-hospital-back-to-work-over-month-after-cyberattack/",,"The hospital is government owned, so it will not negoitate with the hackers"
1094,10/16/2021,2021,,Sinclair Broadcast Group,USA,,,,Communications,,Macaw,,,More than 1 month,,,,No,N/A,N/A,"https://www.securityweek.com/sinclair-hit-ransomware-attack-tv-stations-disrupted ;
https://www.cybersecuritydive.com/news/sinclair-ransomware-attack-costs-insurance/619926/",,
1095,10/16/2021,2021,,9 Israeli Hospitals,Israel,,,,Healthcare and Public Health,,DeepBlueMagin,,,,,,,,,,https://www.bleepingcomputer.com/news/security/suspected-chinese-hackers-behind-attacks-on-ten-israeli-hospitals/,,
1096,10/20/2021,2021,,Kemptville District Hospital,Canada,,,,Healthcare and Public Health,,,,,,,,,,,,https://ottawacitizen.com/news/local-news/kemptville-hospital-emergency-department-closed-after-it-disruption,,
1097,10/22/2021,2021,,Papua New Guinea's Department of Finance's Integrated Financial Management System (IFMS),Papua New Guinea,,,,Government Facilities,Financial Services,,,Recovered as of 10/29/2021 ao 7 days,1 week or less,Undisclosed bitcoin amount,,,No,N/A,N/A,"https://www.bloomberg.com/news/articles/2021-10-27/papua-new-guinea-s-finance-department-hit-with-ransomware-attack ; 
https://www.cpomagazine.com/cyber-security/ransomware-attack-on-papua-new-guinea-government-freezes-much-needed-foreign-aid/",,
1098,10/23/2021,2021,,Eberspächer Group ,Germany,,,,Critical Manufacturing,,,,,,,,,,,,https://therecord.media/workers-sent-home-after-ransomware-attack-on-major-automotive-parts-manufacturer/,,
1099,10/24/2021,2021,,School District of Janesville,WI,,,,Education Facilities Subsector,,,,,,,,,,,,https://www.nbc15.com/2021/10/25/janesville-school-district-hit-by-ransomware-attack/,,
1100,10/24/2021,2021,,Valent USA LLC,USA,,,,Chemical,Food and Agriculture,,,,,,,,,,,https://www.jdsupra.com/legalnews/valent-u-s-a-llc-announces-data-breach-5375329/,,
1101,10/28/2021,2021,,Toronto Transit Commission (TTC),Canada,,,,Transportation Systems,,,,,,,,,,,,https://toronto.citynews.ca/2021/10/29/ttc-says-it-was-the-victim-of-ransomware-attack/,,
1102,10/29/2021,2021,,UK Labour Party data manager supplier,UK,,,,Information Technology,Government Facilities,,,,,,,,,,,https://www.bleepingcomputer.com/news/security/uk-labour-party-discloses-data-breach-after-ransomware-attack/,,
1103,10/30/2021,2021,,Newfoundland Health Care System,Canada,,,,Healthcare and Public Health,Government Facilities,,,,,,,,,,,https://www.bleepingcomputer.com/news/security/canadian-province-health-care-system-disrupted-by-cyberattack/,,
1104,10/31/2021,2021,End of October 2021,Tokushima Hospital,Japan,,,,Healthcare and Public Health,,,,2 months,More than 1 month,,,,No,N/A,N/A,https://nationalcybersecuritynews.today/ransomware-attack-forced-tokushima-hospital-to-halt-operations-for-two-months-malware-ransomware/,,
1105,10/31/2021,2021,Late October 2021,Handa Hospital,Japan,,,,Healthcare and Public Health,,LockBit,,2 months,More than 1 month,,,,,,,"https://mainichi.jp/english/articles/20211113/p2a/00m/0na/026000c ;
https://www3.nhk.or.jp/nhkworld/en/news/20220620_35/",,
1106,10/31/2021,2021,,Handa Hospital,Japan,,,,Healthcare and Public Health,,LockBit,,,,,$60k,,Yes,,$30k,https://english.kyodonews.net/news/2022/10/dd4334604720-russian-hackers-say-japan-hospital-paid-30000-in-ransomware-attack.html,,
1107,11/1/2021,2021,November 2021,Swire Pacific Offshore (SPO) (maritime services provider),Singapore,,,,Transportation Systems,,Clop,S0611,,,,,,,,,https://www.bleepingcomputer.com/news/security/marine-services-provider-swire-pacific-offshore-hit-by-ransomware/,,
1108,11/1/2021,2021,November 2021,Correos Express,Global,,,,Transportation Systems,,,,,,,,,,,,https://www.lemagit.fr/actualites/252510274/Ransomware-lespagnol-Correos-apparait-aux-prises-avec-Hive,,
1109,11/1/2021,2021,November 2021,Volvo,Global,,,,Critical Manufacturing,,Snatch,,,,,,,,,,https://www.autoevolution.com/news/ransomware-group-claims-volvo-attack-screenshots-of-the-stolen-files-released-176312.html,,
1110,11/7/2021,2021,,MediaMarkt,Europe,,,,Information Technology,,Hive,,,,,$240 million,More than $5000000,,,,https://www.bleepingcomputer.com/news/security/mediamarkt-hit-by-hive-ransomware-initial-240-million-ransom/,,
1111,11/7/2021,2021,,Delta-Montrose Electric Association (DMEA),CO,,,,Energy,,,,Weeks,1 month or less,,,,,,,https://www.cpomagazine.com/cyber-security/colorado-energy-company-suffered-a-cyber-attack-destroying-25-years-of-data-and-shut-down-internal-controls/,,
1112,11/10/2021,2021,,Kisters AG,Germany,,,,Critical Manufacturing,Energy,Conti,S0575,,,,,,,,,https://www.databreaches.net/cyber-%e2%80%8b%e2%80%8battack-on-kisters-ag-by-orchestrated-ransomware-attack/,,
1113,11/13/2021,2021,,Frontier Software,Australia,,,,Financial Services,,,,4 days,1 week or less,,,,,,,https://www.zdnet.com/article/south-australian-government-employee-data-taken-in-frontier-software-ransomware-attack/,,
1114,11/15/2021,2021,Mid-November 2021,Supernus Pharmaceuticals,MD,,,,Chemical,,,,,,,,,No,N/A,N/A,https://www.globenewswire.com/news-release/2021/11/24/2340869/19871/en/Supernus-Pharmaceuticals-Targeted-in-Ransomware-Incident.html,,
1115,11/19/2021,2021,,Vestas,Denmark,,,,Energy,,,,,,,,,,,,"https://www.reuters.com/technology/vestas-close-normal-operations-after-ransomware-attack-2021-11-29/ ;
https://www.reuters.com/markets/europe/vestas-data-compromised-by-cyber-attack-2021-11-22/",,
1116,11/23/2021,2021,,Lewis and CLark Community College,IL,,,,Education Facilities Subsector,,,,1 week +,1 month or less,,,,,,,"https://www.msspalert.com/cybersecurity-breaches-and-attacks/ransomware/lewis-and-clark-college-recovery-updates/ ;
https://wlds.com/lewis-clark-remains-closed-after-ransomware-attack/",,
1117,11/24/2021,2021,,Butler County Community College,PA,,,,Education Facilities Subsector,,,,Reopened Dec 6,1 week or less,,,,No,N/A,N/A,"https://butlerradio.com/bc3-cooperating-with-fbi-after-ransomware-attack/ ;
https://www.connectradio.fm/2021/12/01/bc3-in-brockway-will-resume-classes-dec-6-after-ransomware-attack/ ;
https://butlerradio.com/bc3-provides-more-details-on-ransomware-attack/",,
1118,11/27/2021,2021,November 2021,CS Energy,Australia,,,,Energy,,Conti,S0575,,,,,,,,,"https://www.zdnet.com/article/queensland-government-energy-generator-says-ransomware-attack-not-state-based/ ;
https://www.csenergy.com.au/news/cs-energy-responds-to-cyber-security-incident",,
1119,11/29/2021,2021,,"Central Licensing Bureau, Inc. (CLB)",AR,,,,Financial Services,,,,,,,,,,,,https://www.jdsupra.com/legalnews/central-licensing-bureau-inc-falls-7910922/,,
1120,11/30/2021,2021,,Conseil des écoles publiques de l’Est de l’Ontario (School District),Canada,,,,Education Facilities Subsector,,,,,,,,,Yes,,,https://www.cornwallseawaynews.com/2021/12/04/ransomware-attack-hits-french-public-school-board/,,
1121,11/30/2021,2021,,Unnamed Canadian healthcare provider,Canada,,,,Healthcare and Public Health,,Conti,S0575,,,,,,,,,https://www.zdnet.com/article/two-ransomware-gangs-hacked-the-same-target-at-the-same-time-heres-what-happened-next/,,"Simultaneously hit by Karma ransomware group, but Conti's attack encrypted Karma's note"
1122,12/1/2021,2021,December 2021,Oahu Transit Services,HI,,,,Transportation Systems,,,,,,,,,,,,https://www.govtech.com/security/honolulu-cio-ransomware-didnt-affect-city-county-networks,,
1123,12/1/2021,2021,December 2021,Bank Indonesia,Indonesia,,,,Financial Services,,Conti,S0575,,,,,,,,,https://www.bleepingcomputer.com/news/security/indonesias-central-bank-confirms-ransomware-attack-conti-leaks-data/,,
1124,12/1/2021,2021,December 2021,Pembroke Pines,FL,,,,Government Facilities,,,,,,,,,,,,https://www.local10.com/news/local/2022/01/20/pembroke-pines-hit-by-ransomware-attack-city-says/,,
1125,12/1/2021,2021,December 2021,Unnamed US bank,USA,,,,Financial Services,,White Rabbit,,,,,,,,,,https://bankautomationnews.com/allposts/risk-security/new-ransomware-white-rabbit-targets-us-bank/,,
1126,12/1/2021,2021,December 2021,Cancer and Hematology Centers of Western Michigan,MI,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.chcwm.com/wp-content/uploads/2022/03/25674955_5-CHCWM-WebNotification.pdf,,
1127,12/1/2021,2021,December 2021,Lincoln College,IL,,,,Education Facilities Subsector,,,,3 months,More than 1 month,,,,,,,https://www.bleepingcomputer.com/news/security/lincoln-college-to-close-after-157-years-due-ransomware-attack/,,
1128,12/1/2021,2021,,Batttelle for Kids,OH,,,,Education Facilities Subsector,,,,,,,,,,,,https://www.bleepingcomputer.com/news/security/ransomware-attack-exposes-data-of-500-000-chicago-students/,,
1129,12/1/2021,2021,December 2021,Eye Care Leaders,NC,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.scmagazine.com/analysis/ransomware/another-1-3m-patients-added-to-data-breach-tally-of-ransomware-attack-on-eye-care-leaders,,
1130,12/2/2021,2021,,Nordic Choice Hotels,Scandinavia,,,,Commercial Facilities,,Conti,S0575,,,,,,,,,https://www.bleepingcomputer.com/news/security/nordic-choice-hotels-hit-by-conti-ransomware-no-ransom-demand-yet/,,
1131,12/3/2021,2021,,Riverhead Central School District,NY,,,,Education Facilities Subsector,,,,,,,,,,,,https://riverheadlocal.com/2021/12/03/riverhead-schools-hit-by-ransomware-attack-shutting-down-computer-and-tech-infrastructure/,,
1132,12/4/2021,2021,,Maryland Department of Health website,MD,,,,Government Facilities,Healthcare and Public Health,,,restored about Jan 11,More than 1 month,,,,No,N/A,N/A,"https://baltimore.cbslocal.com/2022/01/12/maryland-department-of-health-confirms-ransomware-attack-caused-disruption-in-covid-19-data-last-month/ ;
https://www.marylandmatters.org/2022/01/12/attack-on-health-dept-computers-was-ransomware-hogan-and-cyber-czar-acknowledge/",,
1133,12/4/2021,2021,,Unnamed Canadian healthcare organization,Canada,,,,Healthcare and Public Health,,Conti,S0575,,,,,,,,,https://www.infosecurity-magazine.com/news/conti-encrypts-karma-ransomware/,,
1134,12/5/2021,2021,,Pellissippi State Community College,TN,,,,Education Facilities Subsector,,,,,,,,,No,N/A,N/A,https://www.wbir.com/article/tech/pellissippi-state-ransomware-attack-info-compromised/51-8ca23b29-a76b-4f08-922e-3d2adbdc9f85,,
1135,12/6/2021,2021,,Abiom,Denmark,,,,Information Technology,,LockBit,,,,,,,No,N/A,N/A,https://www.dutchnews.nl/news/2021/12/ransomware-hackers-release-39000-internal-government-files/,,
1136,12/7/2021,2021,,SPAR (supermarket chain),UK,,,,Food and Agriculture,,,,,,,,,,,,https://news.sky.com/story/supermarket-spar-forced-to-close-stores-due-to-cyber-attack-12488466,,
1137,12/7/2021,2021,,Saskatoon John Diefenbaker International Airport,Canada,,,,Transportation Systems,,,,,,,,,No,N/A,N/A,https://www.insurancebusinessmag.com/ca/news/cyber/canadian-establishment-continues-to-be-harassed-by-snatch-ransomware-group-323718.aspx,,
1138,12/9/2021,2021,,Hellmann Worldwide,Global,,,,Transportation Systems,,RansomExx/defray,,,,,,,,,,https://www.bleepingcomputer.com/news/security/logistics-giant-warns-of-bec-emails-following-ransomware-attack/,,
1139,12/10/2021,2021,,Brazilian Ministry of Health,Brazil,,,,Government Facilities,Healthcare and Public Health,Lapsus$,,,,,,,,,,https://www.zdnet.com/article/brazilian-ministry-of-health-suffers-cyberattack-and-covid-19-vaccination-data-vanishes/,,
1140,12/10/2021,2021,,Virginia's Division of Legislative Automated Systems (DLAS),VA,,,,Information Technology,Government Facilities,,,,,,,,,,,https://www.wavy.com/news/virginia/officials-virginia-state-agency-hit-with-ransomware-attack/,,
1141,12/10/2021,2021,,La Posada at Park Centre,AZ,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.hipaajournal.com/four-healthcare-providers-hit-with-ransomware-attacks/,,
1142,12/11/2021,2021,,Kronos Private Cloud,Global,,,,Financial Services,,,,,More than 1 month,,,,,,,https://www.theregister.com/2021/12/13/ultimate_kronos_group_ransomware_attack/; https://www.shrm.org/resourcesandtools/hr-topics/technology/pages/concerns-linger-following-ukg-ransomware-attack.aspx,,
1143,12/12/2021,2021,,Superior Plus,North America,,,,Energy,,,,,,,,,,,,https://www.zdnet.com/article/billion-dollar-natural-gas-supplier-superior-plus-hit-with-ransomware/,,
1144,12/12/2021,2021,,McMenamins (breweries),OR,,,,Food and Agriculture,,Conti,S0575,,,,,,,,,https://www.bleepingcomputer.com/news/security/mcmenamins-breweries-hit-by-a-conti-ransomware-attack/,,
1145,12/16/2021,2021,,Coombe Women and Infants University Hospital,Ireland,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.irishtimes.com/business/technology/coombe-hospital-services-continuing-as-normal-after-cyberattack-1.4756968,,
1146,12/20/2021,2021,,Inetum,Global,,,,Information Technology,,BlackCat,,,,,,,,,,https://www.bleepingcomputer.com/news/security/global-it-services-provider-inetum-hit-by-ransomware-attack/,,
1147,12/20/2021,2021,,CompuGroup Medical,Global,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.beckershospitalreview.com/cybersecurity/most-of-compugroup-medical-s-systems-back-online-after-ransomware-attack.html,,
1148,12/20/2021,2021,,Extend Fertility,NY,,,,Healthcare and Public Health,,,,,,,,,,,,https://www.hipaajournal.com/four-healthcare-providers-hit-with-ransomware-attacks/,,
1149,12/23/2021,2021,,Moncler,Italy,,,,Commercial Facilities,,BlackCat,,,,,$3 million,$5000000 or less,No,N/A,N/A,https://www.bleepingcomputer.com/news/security/fashion-giant-moncler-confirms-data-breach-after-ransomware-attack/,,
1150,12/26/2021,2021,,Crawford County,AR,,,,Government Facilities,,,,,More than 1 month,,,,,,,https://www.nwahomepage.com/news/crawford-county-reeling-from-ransomware-cyberattack/,,
1151,1/1/2022,2022,,Impresa,Portugal,,,,Communications,,Lapsus$,,,,,,,,,,https://siliconangle.com/2022/01/02/portuguese-media-group-impresa-knocked-offline-ransomware-attack/,,
1152,1/4/2022,2022,,FinalSite,Global,,,,Information Technology,Education Facilities Subsector,,,6 days,1 week or less,,,,,,,"https://www.bleepingcomputer.com/news/security/finalsite-ransomware-attack-shuts-down-thousands-of-school-websites/ ;
https://www.infosecurity-magazine.com/news/finalsite-school-restored/",,
